id,user_response_id,tag
3,2,départ assis
4,2,trous
5,2,dalle
6,2,réglettes
7,2,mur
8,3,dévers
9,3,réglettes
10,3,surplomb
11,3,toit
12,3,trous
13,3,pincettes
14,4,dévers
15,4,départ assis
16,4,réglettes
17,4,toit
18,4,haut
19,5,dalle
20,5,départ assis
21,5,dévers
22,5,traversée
23,5,toit
24,5,trous
25,6,mur
26,6,départ assis
27,6,réglettes
28,6,trous
29,7,arête
30,9,toit
31,9,dalle
32,9,réglettes
33,9,aplats
34,10,départ assis
35,10,dévers
36,10,aplats
37,10,réglettes
38,10,jeté
39,10,trous
40,10,pincettes
41,10,arête
42,10,proue
43,10,pilier
44,10,mur
45,11,dalle
46,11,traversée
47,11,réglettes
48,11,bombé
49,11,dièdre
50,11,descente
51,11,cheminée
